id,case_number,date,block,iucr,primary_type,description,location_description,arrest,domestic,beat,district,community_area,fbi_code,x_coordinate,y_coordinate,year,updated_on,latitude,longitude
13047730,jg230166,2023-04-19t21:05:00.000,015xx n sandburg ter,0560,assault,simple,apartment,False,True,1821,018,8,08a,1175024,1910843,2023,2023-04-26t16:53:52.000,41.91074006,-87.632455702
13047713,jg230142,2023-04-19t21:05:00.000,056xx w division st,0486,battery,domestic battery simple,street,False,True,2531,025,25,08b,1138361,1907431,2023,2023-04-26t16:53:52.000,41.902120234,-87.767226178
13048150,jg230602,2023-04-19t21:01:00.000,056xx n western ave,0910,motor vehicle theft,automobile,street,False,False,2011,020,2,07,1159306,1937470,2023,2023-04-26t16:53:52.000,41.984144072,-87.689462992
13052949,jg236411,2023-04-19t21:00:00.000,001xx s racine ave,0820,theft,$500 and under,residence - porch / hallway,False,False,1232,012,28,06,,,2023,2023-04-26t16:53:52.000,,
13050880,jg233790,2023-04-19t21:00:00.000,070xx s dorchester ave,0820,theft,$500 and under,other (specify),False,False,0321,003,43,06,1186762,1858340,2023,2023-04-26t16:53:52.000,41.766397672,-87.591002227
13047772,jg230178,2023-04-19t21:00:00.000,016xx w congress pkwy,041a,battery,aggravated - handgun,hospital building / grounds,False,False,1231,012,28,04b,1165475,1897799,2023,2023-04-26t16:53:52.000,41.875155116,-87.667906709
13047753,jg230149,2023-04-19t21:00:00.000,133xx s edbrooke ave,0486,battery,domestic battery simple,sidewalk,False,True,0533,005,54,08b,1179801,1816912,2023,2023-04-26t16:53:52.000,41.652875767,-87.617778465
13049512,jg230139,2023-04-19t21:00:00.000,013xx e 47th st,0430,battery,aggravated - other dangerous weapon,athletic club,False,True,0222,002,39,04b,1185692,1874100,2023,2023-04-26t16:53:52.000,41.809669669,-87.594427666
13052948,jg230693,2023-04-19t21:00:00.000,010xx e 132nd st,0910,motor vehicle theft,automobile,cha parking lot / grounds,False,False,0533,005,54,07,,,2023,2023-04-26t16:53:52.000,,
13048198,jg230710,2023-04-19t21:00:00.000,014xx w 49th pl,0486,battery,domestic battery simple,apartment,False,True,0933,009,61,08b,1167616,1871924,2023,2023-04-26t16:53:52.000,41.804105825,-87.66078974
13048258,jg230794,2023-04-19t21:00:00.000,005xx n milwaukee ave,0910,motor vehicle theft,automobile,street,False,False,1214,012,24,07,1170736,1903877,2023,2023-04-26t16:53:52.000,41.891720013,-87.648412441
13047906,jg230135,2023-04-19t21:00:00.000,046xx n marine dr,1330,criminal trespass,to land,hospital building / grounds,False,False,1914,019,3,26,1170399,1931093,2023,2023-04-26t16:53:52.000,41.966409353,-87.648852157
13048069,jg230437,2023-04-19t21:00:00.000,037xx w 54th st,0910,motor vehicle theft,automobile,street,False,False,0822,008,62,07,1152413,1868546,2023,2023-04-26t16:53:52.000,41.795149014,-87.716636415
13047769,jg230204,2023-04-19t21:00:00.000,011xx w fulton market,0820,theft,$500 and under,street,False,False,1214,012,28,06,1168635,1902025,2023,2023-04-26t16:53:52.000,41.886683758,-87.65618209
13047870,jg230242,2023-04-19t21:00:00.000,085xx s loomis blvd,0486,battery,domestic battery simple,residence,False,True,0613,006,71,08b,1168486,1848155,2023,2023-04-26t16:53:52.000,41.738861949,-87.658283218
13047717,jg230160,2023-04-19t21:00:00.000,015xx n leclaire ave,0810,theft,over $500,street,False,False,2533,025,25,06,1142090,1909816,2023,2023-04-26t16:53:52.000,41.908596601,-87.753469621
13047909,jg230338,2023-04-19t21:00:00.000,060xx s marshfield ave,0910,motor vehicle theft,automobile,street,False,False,0714,007,67,07,1166376,1864619,2023,2023-04-26t16:53:52.000,41.784086563,-87.665545584
13047767,jg230137,2023-04-19t20:43:00.000,087xx s langley ave,0486,battery,domestic battery simple,apartment,False,True,0632,006,44,08b,1182433,1847029,2023,2023-04-26t16:53:52.000,41.735460507,-87.607219319
13047790,jg230167,2023-04-19t20:42:00.000,016xx s wabash ave,051a,assault,aggravated - handgun,street,True,True,0131,001,33,04a,1177027,1892335,2023,2023-04-26t16:53:52.000,41.85990797,-87.625658189
