id,case_number,date,block,iucr,primary_type,description,location_description,arrest,domestic,beat,district,community_area,fbi_code,x_coordinate,y_coordinate,year,updated_on,latitude,longitude,crime_rating
13048456,jg231086,2023-04-19t22:02:00.000,021xx s damen ave,0820,theft,$500 and under,street,False,False,1234,12,31,06,1163371.0,1889626.0,2023,2023-04-26t16:53:52.000,41.852772149,-87.675861549,4
13047898,jg230205,2023-04-19t22:00:00.000,073xx s yale ave,0486,battery,domestic battery simple,residence,False,True,731,7,69,08b,1175893.0,1856311.0,2023,2023-04-26t16:53:52.000,41.761080366,-87.630901564,5
13048117,jg230579,2023-04-19t22:00:00.000,073xx s cicero ave,0910,motor vehicle theft,automobile,hotel / motel,False,False,833,8,65,07,1145666.0,1855429.0,2023,2023-04-26t16:53:52.000,41.759283913,-87.741709017,4
13049628,jg231326,2023-04-19t22:00:00.000,063xx w montrose ave,0810,theft,over $500,street,False,False,1622,16,15,06,1133478.0,1928582.0,2023,2023-04-26t16:53:52.000,41.96024804,-87.784665277,4
13048076,jg230445,2023-04-19t22:00:00.000,016xx w 119th st,0610,burglary,forcible entry,restaurant,False,False,2234,22,75,05,1167253.0,1825785.0,2023,2023-04-26t16:53:52.000,41.677501539,-87.663438288,4
13047830,jg230285,2023-04-19t22:00:00.000,012xx w 78th st,031a,robbery,armed - handgun,street,False,False,612,6,71,03,1169543.0,1853064.0,2023,2023-04-26t16:53:52.000,41.752310102,-87.65426864,4
13047869,jg230256,2023-04-19t22:00:00.000,018xx w maypole ave,051a,assault,aggravated - handgun,street,False,False,1223,12,28,04a,1164094.0,1901067.0,2023,2023-04-26t16:53:52.000,41.884152048,-87.672884839,5
13052115,jg235291,2023-04-19t22:00:00.000,010xx n central ave,0486,battery,domestic battery simple,residence,False,True,1524,15,25,08b,1138828.0,1906257.0,2023,2023-04-26t16:53:52.000,41.898890167,-87.765539335,5
13048175,jg230600,2023-04-19t22:00:00.000,057xx s morgan st,0820,theft,$500 and under,street,False,False,712,7,68,06,1170624.0,1866784.0,2023,2023-04-26t16:53:52.000,41.789935982,-87.649907722,4
13047965,jg230434,2023-04-19t22:00:00.000,027xx n avers ave,1305,criminal damage,criminal defacement,residence - garage,False,False,2524,25,22,14,1150249.0,1917966.0,2023,2023-04-26t16:53:52.000,41.930805676,-87.723284167,5
13048747,jg231100,2023-04-19t22:00:00.000,029xx n broadway,0890,theft,from building,apartment,False,False,1934,19,6,06,1171746.0,1919697.0,2023,2023-04-26t16:53:52.000,41.935108718,-87.644236398,4
13049541,jg230180,2023-04-19t21:54:00.000,085xx s ashland ave,031a,robbery,armed - handgun,street,False,False,614,6,71,03,1167159.0,1848187.0,2023,2023-04-26t16:53:52.000,41.738978222,-87.663144179,4
13047783,jg230194,2023-04-19t21:50:00.000,029xx n lakewood ave,0910,motor vehicle theft,automobile,street,False,False,1933,19,6,07,1167117.0,1919816.0,2023,2023-04-26t16:53:52.000,41.935536099,-87.661244613,4
13047998,jg230507,2023-04-19t21:50:00.000,048xx w catalpa ave,0810,theft,over $500,residence - garage,False,False,1621,16,12,06,1142995.0,1935848.0,2023,2023-04-26t16:53:52.000,41.980013978,-87.749493687,4
13047755,jg230179,2023-04-19t21:45:00.000,027xx w summerdale ave,1310,criminal damage,to property,apartment,False,False,2011,20,4,14,1157222.0,1935423.0,2023,2023-04-26t16:53:52.000,41.97856974,-87.69718357,5
13050053,jg232958,2023-04-19t21:45:00.000,025xx w cortland st,0920,motor vehicle theft,attempt - automobile,street,False,False,1434,14,22,07,1159199.0,1912539.0,2023,2023-04-26t16:53:52.000,41.915734141,-87.690544205,4
13047761,jg230182,2023-04-19t21:44:00.000,060xx w 64th pl,4387,other offense,violate order of protection,apartment,False,True,812,8,64,26,1137167.0,1861140.0,2023,2023-04-26t16:53:52.000,41.775112147,-87.772721778,4
13048047,jg230516,2023-04-19t21:44:00.000,027xx w summerdale ave,0890,theft,from building,apartment,False,False,2011,20,4,06,1157188.0,1935422.0,2023,2023-04-26t16:53:52.000,41.978567689,-87.697308633,4
13048313,jg230840,2023-04-19t21:40:00.000,061xx s kedvale ave,0281,criminal sexual assault,non-aggravated,apartment,False,True,813,8,65,02,1149755.0,1863628.0,2023,2023-04-26t16:53:52.000,41.781705169,-87.72651074,5
13048283,jg230181,2023-04-19t21:40:00.000,046xx n broadway,0460,battery,simple,cta train,False,False,1913,19,3,08b,1167942.0,1930944.0,2023,2023-04-26t16:53:52.000,41.966053999,-87.657890403,5
13048900,jg230169,2023-04-19t21:37:00.000,007xx e 131st st,1320,criminal damage,to vehicle,cta bus,False,False,533,5,54,14,1183449.0,1818549.0,2023,2023-04-26t16:53:52.000,41.657284072,-87.604380182,5
13047757,jg230172,2023-04-19t21:34:00.000,051xx w diversey ave,0312,robbery,armed - knife / cutting instrument,drug store,False,False,2521,25,19,03,1141596.0,1918129.0,2023,2023-04-26t16:53:52.000,41.931417509,-87.755078443,4
13048200,jg230151,2023-04-19t21:31:00.000,020xx w 70th st,0486,battery,domestic battery simple,residence,False,True,735,7,67,08b,1163891.0,1858231.0,2023,2023-04-26t16:53:52.000,41.766609631,-87.674835899,5
13048468,jg231123,2023-04-19t21:30:00.000,040xx w 26th st,0860,theft,retail theft,small retail store,False,False,1031,10,30,06,1149939.0,1886420.0,2023,2023-04-26t16:53:52.000,41.844246118,-87.725244851,4
13047754,jg230175,2023-04-19t21:30:00.000,060xx w foster ave,0620,burglary,unlawful entry,residence,False,False,1622,16,11,05,1135005.0,1934210.0,2023,2023-04-26t16:53:52.000,41.97566484,-87.7789173,4
13047697,jg230132,2023-04-19t21:17:00.000,079xx s drexel ave,0560,assault,simple,apartment,False,True,624,6,44,08a,1183612.0,1852466.0,2023,2023-04-26t16:53:52.000,41.750352846,-87.602730854,5
13049703,jg232071,2023-04-19t21:15:00.000,060xx n bernard st,1360,criminal trespass,to vehicle,street,False,False,1711,17,13,26,1152283.0,1939943.0,2023,2023-04-26t16:53:52.000,41.991072085,-87.715227037,5
13048751,jg231307,2023-04-19t21:07:00.000,032xx n clark st,0860,theft,retail theft,department store,False,False,1924,19,6,06,1169868.0,1921628.0,2023,2023-04-26t16:53:52.000,41.94044868,-87.651081589,4
13049692,jg231727,2023-04-19t21:05:00.000,033xx w 66th st,0810,theft,over $500,street,False,False,831,8,66,06,1155308.0,1860663.0,2023,2023-04-26t16:53:52.000,41.773459423,-87.706231143,4
